animal_id,nome,especie,raca_femea,linhagem,data_nascimento,idade_anos,peso_kg,condicao_corporal,num_partos_anteriores,intervalo_pos_parto_dias,fazenda,municipio,data_inseminacao,mes_inseminacao,ano_inseminacao,trimestre,estacao,tipo_inseminacao,raca_reprodutor,reprodutor_id,empresa_semem,protocolo_hormonal,dias_desde_ultima_ins,temperatura_ambiente_c,tecnico,probabilidade_prenhez_ia,resultado
OVI-0001,Estrela,Ovino,Morada Nova,Linhagem A,2019-01-31,4.3,63.7,4,2,74,Sítio São Francisco,Catunda,2023-05-17,5,2023,2,Seca,IA Convencional,Dorper,REP-072,Alta Genetics,Cosynch,80,27.3,Maria Souza,0.8823,Prenha
BOV-0001,Íris,Bovino,Sindi,Linhagem G,2020-09-27,3.2,344.6,4,0,,Fazenda Caatinga Verde,Crateús,2023-11-28,11,2023,4,Chuvosa,IA Convencional,Angus,REP-069,CRV Lagoa,Sem protocolo,16,26.4,Fernanda Costa,0.5556,Prenha
BOV-0002,Eva,Bovino,Nelore,Linhagem C,2018-02-26,4.2,348.4,3,0,,Sítio Riacho Seco,Monsenhor Tabosa,2022-05-23,5,2022,2,Seca,IA Convencional,Bonsmara,REP-048,Sexing Tech,IATF 7 dias,114,23.1,Roberto Neto,0.6226,Nao_Prenha
BOV-0003,Íris,Bovino,Girolando,Linhagem E,2021-12-27,1.4,393.8,5,0,,Sítio Boa Sorte,Quiterianópolis,2023-05-17,5,2023,2,Seca,IA Convencional,Gir,REP-009,Alta Genetics,P4+EB,92,25.1,Ana Lima,0.5918,Prenha
BOV-0004,Palma,Bovino,Girolando,Linhagem B,2017-08-08,5.9,503.5,4,4,249,Fazenda Palmeira,Ararendá,2023-06-27,6,2023,2,Seca,IA Convencional,Angus,REP-007,Insitec,Ovsynch,119,30.8,Ana Lima,0.9169,Prenha
OVI-0002,Glória,Ovino,Somalis,Sem registro,2020-04-12,4.3,73.8,5,0,,Sítio Três Irmãos,Nova Russas,2024-08-16,8,2024,3,Seca,IATF,Texel,REP-021,Geneal,Sem protocolo,92,33.9,Carlos Melo,0.6342,Nao_Prenha
CAP-0001,Rosa,Caprino,Moxotó,Linhagem F,2021-08-12,1.4,60.2,3,0,,Fazenda Boa Esperança,Poranga,2023-01-01,1,2023,1,Chuvosa,IATF,Anglo Nubiano,REP-063,CRV Lagoa,Select Synch,24,26.2,Marcos Farias,0.6927,Nao_Prenha
BOV-0005,Serena,Bovino,Gir,Sem registro,2018-09-13,3.7,425.8,2,2,94,Fazenda Palmeira,Poranga,2022-06-11,6,2022,2,Seca,IATF,Bonsmara,REP-028,Grupo Nelore,IATF 7 dias,21,32.5,Pedro Alves,0.7157,Prenha
BOV-0006,Eva,Bovino,Canchim,Linhagem D,2020-11-29,4.0,354.4,2,0,,Sítio Três Irmãos,Crateús,2024-11-25,11,2024,4,Chuvosa,IATF,Nelore,REP-009,CRV Lagoa,P4+EB,80,30.2,Ana Lima,0.6133,Nao_Prenha
BOV-0007,Fada,Bovino,Brahman,Linhagem B,2022-05-27,2.3,421.9,3,0,,Sítio Riacho Seco,Crateús,2024-08-26,8,2024,3,Seca,IA Convencional,Senepol,REP-008,Geneal,P4+BE+PGF,17,32.5,Roberto Neto,0.4559,Nao_Prenha
BOV-0008,Lua,Bovino,Girolando,Linhagem B,2018-02-18,6.4,335.0,4,0,,Fazenda Palmeira,Crateús,2024-07-07,7,2024,3,Seca,IATF,Gir,REP-031,Alta Genetics,P4+EB,61,35.8,Maria Souza,0.7155,Prenha
